,Component,Waiting,Interpolation,Sending
583200,0.205,0.020,0.000,0.000
585900,0.209,0.328,0.000,0.000
588600,0.212,0.016,0.000,0.000
591300,0.212,0.027,0.001,0.000
594000,0.207,0.013,0.000,0.000
596700,0.205,0.208,0.000,0.000
599400,0.203,0.023,0.000,0.000
602100,0.198,0.029,0.000,0.000
604800,0.214,0.038,0.000,0.000
607500,0.209,0.251,0.000,0.000
610200,0.204,0.027,0.000,0.000
612900,0.220,0.029,0.000,0.000
615600,0.214,0.006,0.000,0.000
618300,0.204,0.215,0.000,0.000
621000,0.201,0.029,0.000,0.000
623700,0.206,0.035,0.000,0.000
626400,0.202,0.018,0.000,0.000
629100,0.198,0.268,0.000,0.000
631800,0.202,0.030,0.000,0.000
634500,0.198,0.032,0.000,0.000
637200,0.201,0.035,0.001,0.000
639900,0.349,0.221,0.000,0.000
642600,0.207,0.013,0.000,0.000
645300,0.202,0.038,0.000,0.000
648000,0.203,0.026,0.000,0.000
650700,0.201,0.394,0.000,0.000
653400,0.203,0.031,0.000,0.000
656100,0.198,0.032,0.000,0.000
658800,0.202,0.038,0.001,0.000
661500,0.202,0.200,0.000,0.000
664200,0.209,0.027,0.000,0.000
666900,0.202,0.028,0.000,0.000
669600,0.202,0.027,0.000,0.000
672300,0.202,0.269,0.000,0.000
675000,0.199,0.032,0.000,0.000
677700,0.204,0.033,0.000,0.000
680400,0.202,0.027,0.000,0.000
683100,0.200,0.196,0.000,0.000
685800,0.200,0.029,0.000,0.000
688500,0.204,0.031,0.000,0.000
691200,0.202,0.017,0.000,0.000
693900,0.200,0.268,0.000,0.000
696600,0.205,0.029,0.000,0.000
699300,0.202,0.034,0.000,0.000
702000,0.205,0.036,0.000,0.000
704700,0.200,0.198,0.000,0.000
707400,0.373,0.141,0.000,0.000
710100,0.204,0.047,0.000,0.000
712800,0.204,0.022,0.000,0.000
715500,0.202,0.266,0.000,0.000
718200,0.206,0.026,0.000,0.000
720900,0.202,0.035,0.000,0.000
723600,0.205,0.029,0.000,0.000
726300,0.204,0.197,0.000,0.000
729000,0.200,0.036,0.000,0.000
731700,0.204,0.033,0.000,0.000
734400,0.202,0.026,0.000,0.000
737100,0.200,0.341,0.000,0.000
739800,0.204,0.032,0.000,0.000
742500,0.200,0.038,0.000,0.000
745200,0.203,0.033,0.000,0.000
747900,0.202,0.199,0.000,0.000
750600,0.205,0.028,0.000,0.000
753300,0.204,0.028,0.000,0.000
756000,0.209,0.020,0.000,0.000
758700,0.210,0.267,0.000,0.000
761400,0.206,0.021,0.000,0.000
764100,0.208,0.035,0.000,0.000
766800,0.203,0.029,0.000,0.000
769500,0.205,0.192,0.000,0.000
772200,0.202,0.043,0.000,0.000
774900,0.211,0.033,0.000,0.000
777600,0.203,0.021,0.000,0.000
780300,0.204,0.269,0.001,0.000
783000,0.208,0.026,0.000,0.000
785700,0.201,0.022,0.000,0.000
788400,0.204,0.036,0.000,0.000
791100,0.204,0.194,0.000,0.000
793800,0.205,0.025,0.000,0.000
796500,0.202,0.031,0.000,0.000
799200,0.205,0.019,0.000,0.000
801900,0.201,0.355,0.000,0.000
804600,0.267,0.029,0.023,0.000
807300,0.206,0.000,0.000,0.000
810000,0.201,0.054,0.000,0.000
812700,0.206,0.206,0.001,0.000
815400,0.222,0.026,0.004,0.000
818100,0.211,0.003,0.000,0.000
820800,0.207,0.036,0.000,0.000
823500,0.427,0.239,0.000,0.000
826200,0.202,0.000,0.000,0.000
828900,0.205,0.060,0.000,0.000
831600,0.206,0.025,0.001,0.000
834300,0.204,0.198,0.000,0.000
837000,0.207,0.023,0.000,0.000
839700,0.205,0.036,0.000,0.000
842400,0.208,0.013,0.000,0.000
845100,0.243,0.322,0.000,0.000
847800,0.203,0.000,0.000,0.000
850500,0.210,0.058,0.000,0.000
853200,0.205,0.028,0.000,0.000
855900,0.203,0.224,0.001,0.000
858600,0.202,0.026,0.000,0.000
861300,0.212,0.031,0.000,0.000
864000,0.228,0.012,0.000,0.000
866700,0.212,0.315,0.000,0.000
869400,0.202,0.017,0.000,0.000
872100,0.209,0.039,0.000,0.000
874800,0.216,0.016,0.000,0.000
877500,0.208,0.192,0.000,0.000
880200,0.206,0.028,0.000,0.000
882900,0.208,0.023,0.000,0.000
885600,0.203,0.016,0.000,0.000
888300,0.208,0.275,0.000,0.000
891000,0.217,0.011,0.000,0.000
893700,0.208,0.032,0.000,0.000
896400,0.204,0.025,0.000,0.000
899100,0.206,0.205,0.000,0.000
901800,0.208,0.026,0.000,0.000
904500,0.204,0.031,0.000,0.000
907200,0.208,0.027,0.000,0.000
909900,0.207,0.263,0.000,0.000
912600,0.203,0.021,0.000,0.000
915300,0.242,0.035,0.000,0.000
918000,0.203,0.000,0.000,0.000
920700,0.207,0.225,0.000,0.000
923400,0.204,0.025,0.000,0.000
926100,0.208,0.029,0.000,0.000
928800,0.206,0.018,0.000,0.000
931500,0.204,0.308,0.000,0.000
934200,0.207,0.026,0.000,0.000
936900,0.206,0.025,0.000,0.000
939600,0.207,0.023,0.000,0.000
942300,0.206,0.214,0.000,0.000
945000,0.203,0.020,0.000,0.000
947700,0.204,0.034,0.000,0.000
950400,0.203,0.019,0.000,0.000
953100,0.208,0.271,0.000,0.000
955800,0.206,0.017,0.000,0.000
958500,0.221,0.037,0.000,0.000
961200,0.203,0.020,0.000,0.000
963900,0.209,0.204,0.000,0.000
966600,0.216,0.022,0.000,0.000
969300,0.203,0.015,0.000,0.000
972000,0.204,0.028,0.000,0.000
974700,0.210,0.265,0.000,0.000
977400,0.213,0.026,0.000,0.000
980100,0.206,0.022,0.000,0.000
982800,0.207,0.029,0.001,0.000
985500,0.208,0.202,0.000,0.000
988200,0.215,0.043,0.000,0.000
990900,0.209,0.027,0.000,0.000
993600,0.205,0.016,0.000,0.000
996300,0.207,0.263,0.000,0.000
999000,0.203,0.020,0.000,0.000
1001700,0.207,0.048,0.000,0.000
1004400,0.208,0.016,0.000,0.000
1007100,0.203,0.201,0.000,0.000
1009800,0.209,0.036,0.000,0.000
1012500,0.238,0.022,0.000,0.000
1015200,0.213,0.000,0.000,0.000
1017900,0.235,0.346,0.000,0.000
1020600,0.206,0.000,0.000,0.000
1023300,0.209,0.055,0.000,0.000
1026000,0.204,0.028,0.001,0.000
1028700,0.210,0.201,0.000,0.000
1031400,0.212,0.020,0.000,0.000
1034100,0.204,0.026,0.000,0.000
1036800,0.204,0.019,0.000,0.000
1039500,0.207,0.272,0.000,0.000
1042200,0.207,0.020,0.000,0.000
1044900,0.204,0.030,0.000,0.000
1047600,0.209,0.023,0.000,0.000
1050300,0.209,0.196,0.000,0.000
1053000,0.203,0.016,0.000,0.000
1055700,0.213,0.037,0.000,0.000
1058400,0.204,0.010,0.000,0.000
1061100,0.204,0.334,0.000,0.000
1063800,0.208,0.023,0.000,0.000
1066500,0.204,0.028,0.000,0.000
1069200,0.205,0.030,0.000,0.000
1071900,0.205,0.202,0.000,0.000
1074600,0.210,0.027,0.000,0.000
1077300,0.208,0.029,0.000,0.000
1080000,0.212,0.014,0.000,0.000
1082700,0.210,0.332,0.000,0.000
1085400,0.208,0.014,0.000,0.000
1088100,0.211,0.035,0.000,0.000
1090800,0.207,0.017,0.000,0.000
1093500,0.208,0.205,0.000,0.000
1096200,0.208,0.025,0.000,0.000
1098900,0.207,0.027,0.000,0.000
1101600,0.325,0.017,0.000,0.000
1104300,0.222,0.289,0.000,0.000
1107000,0.209,0.001,0.000,0.000
1109700,0.216,0.047,0.000,0.000
1112400,0.208,0.014,0.001,0.000
1115100,0.210,0.200,0.000,0.000
1117800,0.205,0.015,0.000,0.000
1120500,0.210,0.037,0.000,0.000
1123200,0.208,0.013,0.000,0.000
1125900,0.208,0.277,0.000,0.000
1128600,0.211,0.022,0.000,0.000
1131300,0.208,0.027,0.000,0.000
1134000,0.211,0.020,0.000,0.000
1136700,0.207,0.191,0.000,0.000
1139400,0.217,0.021,0.000,0.000
1142100,0.224,0.016,0.000,0.000
1144800,0.221,0.022,0.000,0.000
1147500,0.211,0.297,0.000,0.000
1150200,0.214,0.007,0.000,0.000
1152900,0.216,0.036,0.000,0.000
1155600,0.208,0.015,0.001,0.000
1158300,0.211,0.203,0.000,0.000
1161000,0.213,0.018,0.000,0.000
1163700,0.210,0.033,0.000,0.000
1166400,0.209,0.016,0.000,0.000
1169100,0.213,0.261,0.000,0.000
1171800,0.215,0.009,0.000,0.000
1174500,0.212,0.040,0.000,0.000
1177200,0.220,0.015,0.000,0.000
1179900,0.218,0.192,0.000,0.000
1182600,0.209,0.007,0.000,0.000
1185300,0.216,0.048,0.000,0.000
1188000,0.213,0.017,0.000,0.000
1190700,0.210,0.257,0.000,0.000
1193400,0.216,0.020,0.000,0.000
1196100,0.217,0.023,0.000,0.000
1198800,0.236,0.010,0.000,0.000
1201500,0.215,0.180,0.000,0.000
1204200,0.216,0.010,0.000,0.000
1206900,0.216,0.031,0.000,0.000
1209600,0.219,0.004,0.000,0.000
1212300,0.214,0.268,0.000,0.000
1215000,0.212,0.009,0.000,0.000
1217700,0.219,0.041,0.000,0.000
1220400,0.212,0.007,0.000,0.000
1223100,0.218,0.207,0.000,0.000
