,Component,Waiting,Interpolation,Sending
561600,0.464,0.004,0.003,0.000

564300,0.236,0.000,0.001,0.000

567000,0.239,0.000,0.002,0.000

569700,0.236,0.000,0.002,0.000

572400,0.408,0.000,0.001,0.000

575100,0.232,0.000,0.002,0.000

577800,0.231,0.000,0.002,0.000

580500,0.227,0.000,0.002,0.000

583200,0.526,0.000,0.001,0.000

585900,0.227,0.000,0.002,0.000

588600,0.228,0.007,0.002,0.000

591300,0.229,0.000,0.001,0.000

594000,0.402,0.008,0.002,0.000

596700,0.227,0.000,0.002,0.000

599400,0.230,0.003,0.002,0.000

602100,0.239,0.000,0.001,0.000

604800,0.460,0.000,0.001,0.000

607500,0.228,0.000,0.005,0.000

610200,0.231,0.000,0.005,0.000

612900,0.227,0.000,0.002,0.000

615600,0.409,0.014,0.002,0.000

618300,0.233,0.000,0.002,0.000

621000,0.234,0.000,0.003,0.000

623700,0.228,0.000,0.002,0.000

626400,0.462,0.001,0.001,0.000

629100,0.226,0.000,0.001,0.000

631800,0.233,0.000,0.002,0.000

634500,0.232,0.000,0.001,0.000

637200,0.402,0.000,0.159,0.000

639900,0.230,0.000,0.001,0.000

642600,0.233,0.007,0.001,0.000

645300,0.232,0.000,0.002,0.000

648000,0.589,0.000,0.001,0.000

650700,0.232,0.000,0.002,0.000

653400,0.233,0.000,0.002,0.000

656100,0.236,0.000,0.001,0.000

658800,0.400,0.000,0.002,0.000

661500,0.228,0.000,0.002,0.000

664200,0.232,0.000,0.007,0.000

666900,0.232,0.000,0.002,0.000

669600,0.463,0.000,0.001,0.000

672300,0.234,0.000,0.002,0.000

675000,0.231,0.000,0.002,0.000

677700,0.228,0.000,0.002,0.000

680400,0.397,0.000,0.002,0.000

683100,0.228,0.000,0.002,0.000

685800,0.230,0.000,0.001,0.000

688500,0.227,0.000,0.002,0.000

691200,0.463,0.002,0.001,0.000

693900,0.229,0.000,0.002,0.000

696600,0.235,0.000,0.002,0.000

699300,0.230,0.000,0.009,0.000

702000,0.404,0.000,0.002,0.000

704700,0.236,0.000,0.279,0.000

707400,0.243,0.000,0.005,0.000

710100,0.228,0.000,0.002,0.000

712800,0.462,0.000,0.001,0.000

715500,0.228,0.000,0.003,0.000

718200,0.238,0.000,0.002,0.000

720900,0.229,0.000,0.001,0.000

723600,0.403,0.000,0.002,0.000

726300,0.236,0.000,0.001,0.000

729000,0.233,0.000,0.001,0.000

731700,0.235,0.000,0.002,0.000

734400,0.536,0.000,0.001,0.000

737100,0.233,0.000,0.002,0.000

739800,0.239,0.000,0.002,0.000

742500,0.233,0.000,0.002,0.000

745200,0.400,0.000,0.002,0.000

747900,0.228,0.000,0.003,0.000

750600,0.231,0.000,0.002,0.000

753300,0.228,0.000,0.002,0.000

756000,0.469,0.000,0.001,0.000

758700,0.228,0.000,0.005,0.000

761400,0.234,0.003,0.005,0.000

764100,0.233,0.000,0.002,0.000

766800,0.396,0.000,0.002,0.000

769500,0.244,0.000,0.001,0.000

772200,0.235,0.000,0.002,0.000

774900,0.236,0.000,0.002,0.000

777600,0.465,0.000,0.001,0.000

780300,0.228,0.000,0.002,0.000

783000,0.230,0.000,0.002,0.000

785700,0.232,0.002,0.002,0.000

788400,0.396,0.000,0.002,0.000

791100,0.226,0.000,0.002,0.000

793800,0.234,0.002,0.001,0.000

796500,0.226,0.000,0.002,0.000

799200,0.553,0.000,0.001,0.000

801900,0.229,0.000,0.001,0.000

804600,0.236,0.000,0.001,0.000

807300,0.281,0.031,0.001,0.000

810000,0.405,0.000,0.001,0.000

812700,0.231,0.000,0.001,0.000

815400,0.232,0.000,0.002,0.000

818100,0.239,0.008,0.002,0.000

820800,0.461,0.000,0.001,0.000

823500,0.382,0.000,0.017,0.000

826200,0.235,0.032,0.002,0.000

828900,0.228,0.000,0.002,0.000

831600,0.402,0.001,0.002,0.000

834300,0.227,0.000,0.002,0.000

837000,0.234,0.002,0.001,0.000

839700,0.229,0.000,0.002,0.000

842400,0.516,0.006,0.001,0.000

845100,0.247,0.000,0.002,0.000

