,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,992,4.810,2275.763,13.448,1525.564,0.016,1.029
ATMIFS,48,993,2270.980,1.517,3.645,3.231,356.519,0.531
oceanx,48,993,1212.906,1082.213,0.427,6.050,190.413,23.339
Coupled,97,993,2295.616,3359.493,17.520,3.197,728.282,0.249
