,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.174,534.666,25.791,2261.915,0.011,0.053
ATMIFS,864,1889,531.638,24.605,15.543,26.270,789.348,3.264
oceanx,1008,1889,246.611,324.929,0.504,56.632,427.180,30.619
Coupled,1873,1889,572.119,884.199,41.837,24.411,1841.460,0.339
