Results for RNFMAP:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination
RNFMAP,RC,5,R_Runoff_atm:R_Calving_atm,ATMIFS
RNFMAP,SN,6,R_Runoff_oce,oceanx
RNFMAP,SN,7,R_Calving_oce,oceanx

-------------------------

Total execution time: 95.5

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
5,91.7,0,0,91.7
6,0,1.37,0.16,1.53
7,0,1.36,0.16,1.52

Σ,91.7,2.73,0.321,94.8

-------------------------

Dependencies (s):

Component RNFMAP has an overhead of 91.745 (96.06%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,91.745,0.000,0.000
Component RNFMAP has an overhead of 3.053 (3.20%) seconds due to coupling with oceanx
,MPI_get,Interpolation,MPI_put
oceanx,0.000,2.733,0.321
