,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,224,0.332,131.889,3.004,4995.841,0.005,0.160
ATMIFS,480,225,91.973,40.090,3.451,18.016,639.434,24.700
oceanx,144,225,126.406,8.961,0.191,13.108,263.646,1.559
Coupled,625,225,135.578,180.939,6.646,12.222,1227.326,0.264
