Results for RNFMAP:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination,Extra
RNFMAP,RC,5,R_Runoff_atm:R_Calving_atm,ATMIFS,
RNFMAP,SN,6,R_Runoff_oce,oceanx,
RNFMAP,SN,7,R_Calving_oce,oceanx,

-------------------------

Total execution time: 704

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
5,686,0,0,686
6,0,6.73,0.7,7.43
7,0,6.7,0.699,7.4

Σ,686,13.4,1.4,701

-------------------------

Dependencies (s):

Component RNFMAP has an overhead of 686.406 (97.44%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,686.406,0.000,0.000
Component RNFMAP has an overhead of 14.836 (2.11%) seconds due to coupling with oceanx
,MPI_get,Interpolation,MPI_put
oceanx,0.000,13.437,1.399
