,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,224,0.353,154.973,3.007,4696.690,0.005,0.259
ATMIFS,240,225,138.170,17.410,3.041,11.992,480.307,8.059
oceanx,144,225,126.328,32.223,0.117,13.117,263.483,7.627
Coupled,385,225,158.685,204.606,6.166,10.442,884.889,0.159
