,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,992,3.123,494.950,13.310,2349.533,0.010,0.188
ATMIFS,336,993,483.167,23.258,6.190,15.187,530.964,3.675
oceanx,192,993,338.049,174.127,0.595,21.707,212.280,12.370
Coupled,529,993,512.836,692.336,20.094,14.309,887.285,0.162
