Results for RNFMAP:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination,Extra
RNFMAP,RC,5,R_Runoff_atm:R_Calving_atm,ATMIFS,
RNFMAP,SN,6,R_Runoff_oce,oceanx,
RNFMAP,SN,7,R_Calving_oce,oceanx,

-------------------------

Total execution time: 533

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
5,515,0,0,515
6,0,6.7,0.7,7.4
7,0,6.65,0.698,7.35

Σ,515,13.3,1.4,530

-------------------------

Dependencies (s):

Component RNFMAP has an overhead of 515.380 (96.65%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,515.380,0.000,0.000
Component RNFMAP has an overhead of 14.746 (2.77%) seconds due to coupling with oceanx
,MPI_get,Interpolation,MPI_put
oceanx,0.000,13.349,1.398
