,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,224,0.393,130.534,3.008,4218.176,0.006,0.138
ATMIFS,576,225,89.673,39.774,4.783,18.478,748.132,26.542
oceanx,144,225,126.714,7.384,0.170,13.077,264.290,1.126
Coupled,721,225,134.288,177.692,7.962,12.339,1402.378,0.278
