,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.145,528.573,25.504,2272.808,0.011,0.059
ATMIFS,864,1889,524.266,24.358,15.749,26.639,778.401,3.702
oceanx,806,1889,267.000,297.081,0.544,52.307,369.815,25.428
Coupled,1671,1889,564.699,850.012,41.797,24.732,1621.555,0.292
