,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,224,0.464,140.242,3.020,3569.402,0.007,0.207
ATMIFS,336,225,111.398,29.642,2.981,14.875,542.135,15.845
oceanx,144,225,127.054,16.850,0.157,13.042,264.999,3.538
Coupled,481,225,144.079,186.735,6.157,11.501,1003.780,0.196
