Results for RNFMAP:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination
RNFMAP,RC,5,R_Runoff_atm:R_Calving_atm,ATMIFS
RNFMAP,SN,6,R_Runoff_oce,oceanx
RNFMAP,SN,7,R_Calving_oce,oceanx

-------------------------

Total execution time: 102

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
5,98.4,0,0,98.4
6,0,1.38,0.161,1.54
7,0,1.37,0.159,1.53

Σ,98.4,2.75,0.321,102

-------------------------

Dependencies (s):

Component RNFMAP has an overhead of 98.444 (96.31%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,98.444,0.000,0.000
Component RNFMAP has an overhead of 3.066 (3.00%) seconds due to coupling with oceanx
,MPI_get,Interpolation,MPI_put
oceanx,0.000,2.745,0.321
