,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,992,3.245,495.891,13.497,2261.165,0.011,0.160
ATMIFS,336,993,484.074,22.128,7.864,15.159,531.961,3.174
oceanx,285,993,254.946,258.862,0.444,28.783,237.641,23.106
Coupled,622,993,514.296,776.881,21.804,14.268,1046.243,0.264
