,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.116,759.651,25.347,2283.553,0.011,0.162
ATMIFS,384,1889,756.069,28.916,8.634,18.472,498.920,2.987
oceanx,229,1889,570.078,222.851,0.934,24.498,224.341,10.518
Coupled,614,1889,793.993,1011.418,34.915,17.590,837.768,0.137
