,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.073,587.668,25.540,2299.577,0.010,0.055
ATMIFS,672,1889,589.521,21.609,13.343,23.690,680.780,2.108
oceanx,1129,1889,232.152,392.117,0.497,60.159,450.406,39.375
Coupled,1802,1889,624.836,1001.393,39.380,22.351,1934.904,0.415
