,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.180,682.725,25.638,2259.974,0.011,0.047
ATMIFS,480,1889,677.651,25.575,17.861,20.609,558.967,1.389
oceanx,1632,1889,226.889,494.328,0.484,61.555,636.314,52.957
Coupled,2113,1889,721.770,1202.627,43.983,19.350,2620.816,0.544
