,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.025,493.052,25.412,2317.890,0.010,0.058
ATMIFS,912,1889,492.956,21.928,13.992,28.331,772.576,3.633
oceanx,806,1889,266.140,262.444,0.533,52.476,368.624,23.307
Coupled,1719,1889,529.192,777.424,39.937,26.391,1563.247,0.270
