,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.275,573.405,25.549,2225.546,0.011,0.056
ATMIFS,768,1889,572.103,22.590,15.283,24.412,755.047,2.707
oceanx,1008,1889,240.733,369.000,0.518,58.014,416.999,34.351
Coupled,1777,1889,610.327,964.994,41.350,22.883,1863.753,0.371
