,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,224,0.392,146.409,3.006,4223.613,0.006,0.230
ATMIFS,288,225,124.211,22.708,3.183,13.340,518.139,11.494
oceanx,144,225,126.985,23.015,0.142,13.049,264.855,5.133
Coupled,433,225,150.160,192.133,6.331,11.035,941.751,0.169
