Results for RNFMAP:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination,Extra
RNFMAP,RC,5,R_Runoff_atm:R_Calving_atm,ATMIFS,
RNFMAP,SN,6,R_Runoff_oce,oceanx,
RNFMAP,SN,7,R_Calving_oce,oceanx,

-------------------------

Total execution time: 504

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
5,486,0,0,486
6,0,6.66,0.699,7.36
7,0,6.62,0.689,7.31

Σ,486,13.3,1.39,501

-------------------------

Dependencies (s):

Component RNFMAP has an overhead of 485.970 (96.47%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,485.970,0.000,0.000
Component RNFMAP has an overhead of 14.662 (2.91%) seconds due to coupling with oceanx
,MPI_get,Interpolation,MPI_put
oceanx,0.000,13.274,1.389
