nproc,SYPD
36,	4.5
97,	12.15
108,	14.33
126,	14.47
144,	18.06
178,	22.66
192,	22.96
196,	22.61
214,	23.5
229,	25.01
250,	24.64
285,	26.45
331,	31.98
380,	30.45
521,	38.6
665,	38.84
806,	34.91
1008,	42.01
1129,	37
1275,	42.52
