nproc,SYPD
36,	1.98
180,	7.38
288,	10.8
396,	12.54
432,	13.73
450,	14.38
468,	14.81
504,	14.96
540,	15.78
648,	16.61
666,	16.67
684,	17.42
720,	16.5
756,	17.92
792,	17.82
864,	17.91
900,	18.63
936,	18.42
972,	17.53
1008,	19.22
