,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
ATMIFS,576,1889,619.711,27.804,11.549,22.536,613.409,1.874
oceanx,1275,1889,229.079,429.847,0.445,60.966,501.919,44.929
RNFMAP,1,1888,6.181,621.745,25.406,2259.644,0.011,0.053
Coupled,1852,1889,659.444,1079.396,37.401,21.178,2098.732,0.469
