,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.068,601.624,25.466,2301.696,0.010,0.053
ATMIFS,576,1889,604.218,23.079,11.583,23.114,598.074,1.707
oceanx,1275,1889,222.413,416.350,0.479,62.793,487.314,44.894
Coupled,1852,1889,639.314,1041.053,37.529,21.845,2034.667,0.467
