,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,992,3.166,684.101,13.347,2318.041,0.010,0.295
ATMIFS,192,993,675.385,22.643,3.700,10.865,424.113,2.161
oceanx,144,993,428.653,272.811,0.493,17.119,201.882,16.639
Coupled,337,993,702.017,979.555,17.540,10.453,773.760,0.191
