,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.210,515.600,25.443,2249.018,0.011,0.065
ATMIFS,1008,1889,510.824,22.334,17.765,27.340,884.851,4.830
oceanx,521,1889,333.966,216.578,0.612,41.819,299.005,13.422
Coupled,1530,1889,551.240,754.512,43.820,25.336,1449.342,0.183
