,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,992,3.008,522.451,13.465,2439.562,0.010,0.176
ATMIFS,336,993,511.074,23.076,6.111,14.358,561.632,3.230
oceanx,229,993,294.460,245.489,0.481,24.920,220.542,18.417
Coupled,566,993,540.478,791.016,20.057,13.577,1000.514,0.218
