,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,992,2.975,455.127,13.328,2466.850,0.010,0.139
ATMIFS,336,993,444.767,22.347,5.905,16.499,488.765,2.819
oceanx,380,993,214.517,258.297,0.383,34.208,266.608,28.975
Coupled,717,993,473.239,735.771,19.616,15.506,1109.757,0.319
