,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.168,686.463,25.425,2264.236,0.011,0.140
ATMIFS,480,1889,665.991,43.505,11.048,20.970,549.349,5.150
oceanx,229,1889,560.188,159.682,0.895,24.931,220.449,7.191
Coupled,710,1889,720.905,889.650,37.368,19.373,879.579,0.125
