,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.679,933.546,25.866,2090.992,0.011,0.086
ATMIFS,1008,1889,510.969,444.978,12.856,27.332,885.102,41.329
oceanx,144,1889,958.089,9.706,1.131,14.577,237.087,0.142
Coupled,1153,1889,969.101,1388.230,39.853,14.411,1920.156,0.416
