nproc,SYPD
93,	0.26
141,	0.39
187,	0.55
229,	0.68
279,	0.84
330,	1.00
377,	1.15
516,	1.60
655,	2.03
803,	2.51
996,	3.10
1127,	3.40
1248,	3.82
1391,	4.41
1466,	4.82
