Results for RNFMAP:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination,Extra
RNFMAP,RC,5,R_Runoff_atm:R_Calving_atm,ATMIFS,
RNFMAP,SN,6,R_Runoff_oce,oceanx,
RNFMAP,SN,7,R_Calving_oce,oceanx,

-------------------------

Total execution time: 502

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
5,484,0,0,484
6,0,6.68,0.694,7.37
7,0,6.63,0.691,7.33

Σ,484,13.3,1.39,499

-------------------------

Dependencies (s):

Component RNFMAP has an overhead of 484.405 (96.47%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,484.405,0.000,0.000
Component RNFMAP has an overhead of 14.698 (2.93%) seconds due to coupling with oceanx
,MPI_get,Interpolation,MPI_put
oceanx,0.000,13.312,1.385
