,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,992,3.017,451.796,13.374,2431.997,0.010,0.149
ATMIFS,336,993,441.565,22.080,5.990,16.618,485.246,3.028
oceanx,331,993,227.859,241.522,0.425,32.205,246.674,25.521
Coupled,668,993,469.849,715.398,19.790,15.618,1026.510,0.287
