Results for RNFMAP:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination,Extra
RNFMAP,RC,5,R_Runoff_atm:R_Calving_atm,ATMIFS,
RNFMAP,SN,6,R_Runoff_oce,oceanx,
RNFMAP,SN,7,R_Calving_oce,oceanx,

-------------------------

Total execution time: 470

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
5,452,0,0,452
6,0,6.73,0.828,7.56
7,0,6.64,0.833,7.48

Σ,452,13.4,1.66,467

-------------------------

Dependencies (s):

Component RNFMAP has an overhead of 451.796 (96.16%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,451.796,0.000,0.000
Component RNFMAP has an overhead of 15.035 (3.20%) seconds due to coupling with oceanx
,MPI_get,Interpolation,MPI_put
oceanx,0.000,13.374,1.661
