,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,224,0.397,136.610,3.040,4176.081,0.006,0.189
ATMIFS,384,225,103.033,35.035,2.280,16.082,573.061,19.320
oceanx,144,225,126.570,13.650,0.163,13.091,263.989,2.682
Coupled,529,225,140.402,185.295,5.482,11.802,1075.777,0.222
