,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.765,951.987,26.316,2064.557,0.012,0.090
ATMIFS,960,1889,519.682,455.491,12.669,26.874,857.328,41.187
oceanx,144,1889,978.263,8.492,1.216,14.276,242.079,0.130
Coupled,1105,1889,988.142,1415.970,40.201,14.134,1876.377,0.414
