,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,224,0.355,132.967,3.025,4670.421,0.005,0.148
ATMIFS,528,225,88.675,42.181,5.781,18.686,678.153,27.562
oceanx,144,225,128.245,8.245,0.188,12.920,267.483,1.323
Coupled,673,225,136.699,183.393,8.994,12.121,1332.515,0.290
