,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,224,0.344,134.985,3.016,4819.030,0.005,0.173
ATMIFS,432,225,96.089,38.795,3.762,17.244,601.240,23.001
oceanx,144,225,127.541,10.971,0.166,12.992,266.013,2.008
Coupled,577,225,138.697,184.751,6.944,11.947,1159.141,0.252
