,nproc,number_ts,exec_time,waiting_time,interpo_time,SYPD,CHPSY,cpl_cost
RNFMAP,1,1888,6.326,590.502,25.538,2207.754,0.011,0.051
ATMIFS,672,1889,583.117,23.533,21.633,23.951,673.385,2.499
oceanx,1275,1889,237.847,390.273,0.474,58.718,521.131,40.689
Coupled,1948,1889,628.662,1004.309,47.645,22.215,2104.478,0.432
